char,wallet,note
BORIS,36zA4DKL4jxvmLkqsvtF9RtzRAwSjscTvfkQPKJNim5g,ok
Dunga,47u56Tf6RsSi4ZjcgKFqnyPfGUYr5vX2cjDVQAMzriMn,ok
Co2,2a4bUA9ChQ3NZdrr8HTpB8zbDTv6EzJW1LMJYCY3djyy,ok
Insk,7MCgEvUnERDMpcQnyvPPm4yH547SjjbftUjDCX6givWB,ok
Rafita12,gCYpmkDeHDFGMnHPZ8MTXrijVgu7fPR3jU9Vpmv3ajo,ok
D10s,9oJdzcWZCvtUJfMtHSVZPRrSbt5LYh7PbJK3TYUmXSJz,ok
Chacho,J7rZveQbh6Ak6bt3KHYXUnZUzPNCVP6dL7yremz25XAi,ok
Hyoga,Egne1mkpDDKoxTKP8wR9XmgQC3fQPv2tNQjWs5v26q2R,ok
tola,C9fpgo1usakDjbae6rKxi2DapyJxRWEjundXWkK2YvaZ,ok
Achechino,wTvpMnFjE6Eua1VLJZ3QALAyrybiHSqbjVs2KmtXcLp,ok
Pituman,bz4vbzgX6M15hetZ9PtikrEkdT3u2QV2cNbtmrwGyW9,ok
DevTest,,missing
