bucket,name,wallet,amount_hell,pump_ui,nft_listings,status,drop_reason,note
player_ronda1,BORIS,36zA4DKL4jxvmLkqsvtF9RtzRAwSjscTvfkQPKJNim5g,1306265,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Dunga,47u56Tf6RsSi4ZjcgKFqnyPfGUYr5vX2cjDVQAMzriMn,878307,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Co2,2a4bUA9ChQ3NZdrr8HTpB8zbDTv6EzJW1LMJYCY3djyy,612361,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Insk,7MCgEvUnERDMpcQnyvPPm4yH547SjjbftUjDCX6givWB,261869,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Rafita12,gCYpmkDeHDFGMnHPZ8MTXrijVgu7fPR3jU9Vpmv3ajo,193196,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,D10s,9oJdzcWZCvtUJfMtHSVZPRrSbt5LYh7PbJK3TYUmXSJz,171173,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Chacho,J7rZveQbh6Ak6bt3KHYXUnZUzPNCVP6dL7yremz25XAi,109173,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Hyoga,Egne1mkpDDKoxTKP8wR9XmgQC3fQPv2tNQjWs5v26q2R,102157,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,tola,C9fpgo1usakDjbae6rKxi2DapyJxRWEjundXWkK2YvaZ,100615,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Achechino,wTvpMnFjE6Eua1VLJZ3QALAyrybiHSqbjVs2KmtXcLp,100000,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,Pituman,bz4vbzgX6M15hetZ9PtikrEkdT3u2QV2cNbtmrwGyW9,100000,,,in,,testing week + 100k plus; wallet from characters.account_wallet
player_ronda1,DevTest,,100000,,,NEED_WALLET,,testing week + 100k plus; pubkey still missing
pump_person,,85WTujfJ9meJq5hfjAeb5gftj7n8Q7QTsZJbRqMD5ERS,10000,21874960937.083336,,in,,system_wallet
pump_person,,8UHpWBnhYNeAQURWjAABp8vSrzfYa69o7sfi65vYLC42,10000,19131083343.250256,,in,,system_wallet
pump_person,,96HiV4cGWTJNCjGVff3RTHgPXmpYz7MSrGTAmxNKVWM9,10000,16770803385.000008,,in,,system_wallet
pump_person,,ERRGqu3dh6zYBg7MNAHKL33TyVb7efMmaKxnmdukdNYa,10000,12395811198.75,,in,,system_wallet
pump_person,,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,10000,8915042953.182056,,in,,system_wallet
pump_person,,4GZwzZgqSwwTTRVgBoxTDeH3EwDye84dCPb9fALAZFjF,10000,7188682174.651561,,in,,system_wallet
pump_person,,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,10000,5116877926.21492,,in,,system_wallet
pump_person,,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,10000,4443313857.771523,,in,,system_wallet
pump_person,,DSo8tY2KdbmZC6Q9YNWgQ9745ugL1Q9K6FeyqovkGqRS,10000,4202393578.322372,,in,,system_wallet
pump_person,,5d3jKREJ2wBRzTeMYnn4PxC5TwitdQxTat1XUFkHXPwV,10000,4190422537.406334,,in,,no_account_data
pump_person,,ESEZgJRoBFfFmmgThPDQHiGgCiJNZqU7fqB6rBygrwWj,10000,4166556908.175359,,in,,system_wallet
pump_person,,4sYGAxDy11dCiS3cBdWBH7ztY8H7D951mVMV5poyZTMc,10000,4062500010,,in,,system_wallet
pump_person,,GsM3emTijQshDHrWRRhSQhqG1zYC9BNnAuah7ZPEu6ya,10000,4058297805.963844,,in,,system_wallet
pump_person,,EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,10000,3862258322.711,,in,,system_wallet
pump_person,,2APnhZKqfBUmCAqnZnfGomQLz1stWDq9UotjFPD6ZXsP,10000,3255321081.284444,,in,,no_account_data
pump_person,,ESRc4ce6jpyRyvGJ9Gjgtmwc7wEtR1ZPaQPnh9kWZM67,10000,3086249202.916677,,in,,system_wallet
pump_person,,C6FVB6jCdkPEdWRyzsV7RuUCmMeGgH9KAwirkKkERm3M,10000,2708333343.333333,,in,,system_wallet
pump_person,,A98NXgzCzKXoLSps5ga2pgsPdEj7AtDQnmAQjVeE8WEm,10000,2708333343.333333,,in,,system_wallet
pump_person,,8eucCT1KqGV6ucERAtsjKm4U4YLUwNHvEeWXJ8MydfSa,10000,2708333343.333333,,in,,system_wallet
pump_person,,BRpXhshfaHtESkmBuZmrFrkJuRRhgmgmY1qtGkPdhwcj,10000,2708333343.333333,,in,,system_wallet
pump_person,,E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,10000,2369983191.52,,in,,system_wallet
pump_person,,6SWFRWrckxvT4hxYUiz43wPxfMpg4NP7Y27WQzY9cT2i,10000,2033354016.175103,,in,,system_wallet
pump_person,,5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,10000,2032385819.53,,in,,system_wallet
pump_person,,EY1cDXoKAwkJwPoyUCvdHxtLSnCMccFpzEXzdGpvvWvT,10000,2031250010,,in,,system_wallet
pump_person,,Hv3s9sBvXLih4tVqHC2dVoMkUCW92tZ6DPyumzCfbe4K,10000,2031250010,,in,,system_wallet
pump_person,,6wrL9xKGPJz1sKTNFZx4QLZRJHny3hgEQvstXpVjJ8m5,10000,2031250010,,in,,system_wallet
pump_person,,CLoPSvbauaaSWs1teGgLnrHHf7FuJC3xtUsZP3KwuJsw,10000,1844358558.375613,,in,,system_wallet
pump_person,,7TWnq4WeYcwQWBCwKeEX2Q9xqVtthPGkB7adNvueuVuh,10000,1839577535.090184,,in,,system_wallet
pump_person,,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,10000,1728485267.444446,,in,,system_wallet
pump_person,,4Votc2LuueerHo1mocqTxhnArYpAbMtBAHsRyS5NpZJT,10000,1625000010,,in,,system_wallet
pump_person,,3L23bbdCk5WknsahZKJZw7ngwYC2gLgDez9KeaihCU5q,10000,1523473889.082332,,in,,no_account_data
pump_person,,DZ8M6QjqS6reDLFCFyoErJzSgGFthd57FMmBqaFNXaNB,10000,1433656900.3357,,in,,system_wallet
pump_person,,DLkDZH2McPeHi4G8DJryEk63WH83RePGL8uKf1yJ1vhH,10000,1433181593.887987,,in,,system_wallet
pump_person,,EbAqo4b82XgfDzX8Ycueg2SXtR5mzp1YrhNPoGgoXXaJ,10000,1403452091.279123,,in,,system_wallet
pump_person,,EnaatNfHKJHifA6VsiZBm1dKKwY8z2aaqW8BhDYwvYJm,10000,1400822462.493785,,in,,system_wallet
pump_person,,55wnwPLi8Hg4ShLqPiwnuXZo7nkKDcEsTpnm1vVkBKDw,10000,1367090011.447367,,in,,system_wallet
pump_person,,4YrSuGhe4okHhab27nMn8yTBEMtPAPanv8koaCjzGDKw,10000,1354198820.024389,,in,,system_wallet
pump_person,,GGDbtt9ArMC7R9kpmC7r1nQZbBy7Htumf1LSmchxs6zc,10000,1354186461.402265,,in,,system_wallet
pump_person,,rCTo9VHWqH5LLWCPoqPRvnDy7JTwCiECrvpWhqS38V6,10000,1354186461.402265,,in,,system_wallet
pump_person,,GJZgb2tYbxkJ1q9u5Xr8nDZtBypvwXQpNstrQ2P6UKh9,10000,1354166676.666667,,in,,system_wallet
pump_person,,1TQV75DZyj19JAuUq9RjvF4ceDuHzN1McQcggQ8u1ev,10000,1354166676.666667,,in,,system_wallet
