mid,name,gen,hp,atk_mid,axis,loadout,spec,hit_pct,raw,after,drop_mult,taken
0,Ettin,10,1376,40.0,out_magic,bare,0,88,69.1,69,1.0,
0,Ettin,10,1376,40.0,out_magic,MS20,0,88,69.1,69,1.0,
0,Ettin,10,1376,40.0,out_magic,MS22_HR50,0,93,69.1,69,1.0,
0,Ettin,10,1376,40.0,out_magic,MS22_HR91,0,97,69.1,69,1.0,
0,Ettin,10,1376,40.0,out_magic,ZW20,0,88,86.4,86,1.0,
0,Ettin,10,1376,40.0,out_magic,ZW20_HeroMage,0,88,91.4,91,1.0,
0,Ettin,10,1376,40.0,out_magic,bare_HeroMage,0,88,73.1,73,1.0,
0,Ettin,10,1376,40.0,out_phys,bare_hand,0,62,13.0,13,1.0,
0,Ettin,10,1376,40.0,out_phys,LongSword+2,0,62,8.7,9,1.0,
0,Ettin,10,1376,40.0,out_phys,GiantSword,0,62,18.6,19,1.0,
0,Ettin,10,1376,40.0,out_phys,GS_Hero,0,72,23.6,24,1.0,
0,Ettin,10,1376,40.0,out_phys,GS_Hero_NOX,0,82,23.6,24,1.0,
0,Ettin,10,1376,40.0,out_phys,GS_Hero_NOX_Xelima7,0,82,30.6,31,1.0,
0,Ettin,10,1376,40.0,out_phys,GS_Hero_NOX_Abaddon17,0,82,40.6,41,1.0,
0,Ettin,10,1376,40.0,out_phys,GS_full_upg10,0,82,50.6,51,1.0,
0,Ettin,10,1376,40.0,in_phys,naked_PA0,0,,40,,1.0,40
0,Ettin,10,1376,40.0,in_phys,light_PA20,0,,40,,1.0,32
0,Ettin,10,1376,40.0,in_phys,heavy_PA40,0,,40,,1.0,24
0,Ettin,10,1376,40.0,in_phys,heavy_Merien5_PA45,0,,40,,1.0,22
0,Ettin,10,1376,40.0,in_phys,heavy_Merien10_PA50,0,,40,,1.0,20
0,Ettin,10,1376,40.0,in_phys,stack_PA70,0,,40,,1.0,12
0,Ettin,10,1376,40.0,in_phys,cap_PA80,0,,40,,1.0,8
0,Ettin,10,1376,40.0,out_magic,bare,50,88,69.1,70,1.529,
0,Ettin,10,1376,40.0,out_magic,MS20,50,88,69.1,70,1.529,
0,Ettin,10,1376,40.0,out_magic,MS22_HR50,50,93,69.1,70,1.529,
0,Ettin,10,1376,40.0,out_magic,MS22_HR91,50,97,69.1,70,1.529,
0,Ettin,10,1376,40.0,out_magic,ZW20,50,88,86.4,87,1.529,
